epoch,accuracy,loss
0,0.92968804,0.3591840722058949
0,0.9845076,0.07814668513877886
0,0.995418,0.014986493561113
0,0.9971683,0.008807958918623626
0,0.99510384,0.014659592117206589
0,0.99542636,0.014915099629433826
0,0.9945777,0.016471530746380497
0,0.99598575,0.011585095406004811
0,0.99684775,0.009606371564155254
0,0.99783796,0.006575609534146201
0,0.9970536,0.00919148802236354
0,0.997928,0.00591730722176874
0,0.99347216,0.020366839343835836
0,0.99659175,0.01017884139151123
0,0.9966453,0.010002915408083443
0,0.99714535,0.008970012089683501
0,0.9981794,0.005257244802462884
0,0.99804,0.0052800871485102355
0,0.9981905,0.005119204331264373
0,0.9969372,0.009847430246921604
0,0.9980747,0.005660506059076258
